id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl
1,@ashiqraja1740,Kish ye movie chahiye,UgyXo5f9jktFLc1WjPd4AaABAg,,1,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgyXo5f9jktFLc1WjPd4AaABAg,2024-03-16 23:24:39,0,Kish ye movie chahiye,http://www.youtube.com/@ashiqraja1740
2,@PradeepKumar-xc6my,Sandeep Reddy arrived and her to rule Indian cinema❤❤,UgzMqrAugYCBe743oz14AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgzMqrAugYCBe743oz14AaABAg,2024-03-16 11:50:17,0,Sandeep Reddy arrived and her to rule Indian cinema❤❤,http://www.youtube.com/@PradeepKumar-xc6my
3,@user-ge7bu8uy6i,Movie kab Aayega ❤❤,Ugys2YgT2oDb8r99u-B4AaABAg,,1,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=Ugys2YgT2oDb8r99u-B4AaABAg,2024-03-15 15:36:57,0,Movie kab Aayega ❤❤,http://www.youtube.com/@user-ge7bu8uy6i
4,@imsamiurrahman,But you can't deny the fact that the guy who edited the teaser deserves a raise or at least praise,UgyD7heFipXsVxDLvN54AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgyD7heFipXsVxDLvN54AaABAg,2024-03-14 15:57:40,0,But you can't deny the fact that the guy who edited the teaser deserves a raise or at least praise,http://www.youtube.com/@imsamiurrahman
5,@bajrangsahu8738,Experience 😢,UgxGwl_suAewka-TfVp4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgxGwl_suAewka-TfVp4AaABAg,2024-03-14 01:25:50,0,Experience 😢,http://www.youtube.com/@bajrangsahu8738
6,@jigarrathod7591,Harshwardhan is backbone of this film,UgypKihNLqHYtsnDWcB4AaABAg,,1,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgypKihNLqHYtsnDWcB4AaABAg,2024-03-10 07:28:56,0,Harshwardhan is backbone of this film,http://www.youtube.com/@jigarrathod7591
7,@jigarrathod7591,Still giving me chills aftr seeing this movie three times,UgzoXX22ETNl0hpqT6J4AaABAg,,3,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgzoXX22ETNl0hpqT6J4AaABAg,2024-03-10 07:28:40,0,Still giving me chills aftr seeing this movie three times,http://www.youtube.com/@jigarrathod7591
8,@user-cs9yu8tv8y,Ranbir voice is the base voice I like it,Ugw7VxlRQlDojsLif0J4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=Ugw7VxlRQlDojsLif0J4AaABAg,2024-03-09 08:46:15,0,Ranbir voice is the base voice I like it,http://www.youtube.com/@user-cs9yu8tv8y
9,@user-he8mq2bz3w,Best movie in may life 😢❤,Ugy97eiQTmjBPQMOg_p4AaABAg,,1,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=Ugy97eiQTmjBPQMOg_p4AaABAg,2024-03-07 15:23:08,0,Best movie in may life 😢❤,http://www.youtube.com/@user-he8mq2bz3w
10,@criminal10.57,Who watch after animal and in march 2024 😂😂,UgxMRyMNOBH94WhpCNJ4AaABAg,,3,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgxMRyMNOBH94WhpCNJ4AaABAg,2024-03-06 01:42:01,0,Who watch after animal and in march 2024 😂😂,http://www.youtube.com/@criminal10.57
11,@fakePrasanjeet,"1:44 Goosebumps, Background Music 🎧🙌🏻",UgxOdGUj467SS-8KG8Z4AaABAg,,6,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgxOdGUj467SS-8KG8Z4AaABAg,2024-03-05 11:38:27,0,"1:44 Goosebumps, Background Music 🎧🙌🏻",http://www.youtube.com/@fakePrasanjeet
12,@vishakhachauhan3649,0:18 evil smile 😈😈,UgyB0EytE04hJx8x93l4AaABAg,,0,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgyB0EytE04hJx8x93l4AaABAg,2024-03-05 08:24:50,0,0:18 evil smile 😈😈,http://www.youtube.com/@vishakhachauhan3649
13,@GhostArmy444,Sandeep Reddy vanga you are my inspiration,UgwlqVxZPoHf14YAmFZ4AaABAg,,1,https://www.youtube.com/watch?v=Dydmpfo68DA&lc=UgwlqVxZPoHf14YAmFZ4AaABAg,2024-03-04 21:56:57,0,Sandeep Reddy vanga you are my inspiration,http://www.youtube.com/@GhostArmy444
